Company,BBG ticker,Date,Reason,Type,Industry,MarketCapUSD,1M_TR,3M_TR,6M_TR,12M_TR,24M_TR,1M_SXXP,3M_SXXP,6M_SXXP,12M_SXXP,24M_SXXP,1M_ALPHA,3M_ALPHA,6M_ALPHA,12M_ALPHA,24M_ALPHA
Bonava AB (publ) (OM:BONAV B),BONAVB SS,25-Apr-18,Not explained,Big4 to Big4,"Consumer, Cyclical",#N/A N/A,0.072,0.105,0.049,0.251,,0.037,0.031,-0.049,0.062,,0.035,0.074,0.098,0.188,
Clas Ohlson AB (publ) (OM:CLAS B),CLASB SS,07-Sep-13,Not explained,Big4 to Big4,"Consumer, Cyclical",902,0.072,0.101,0.288,0.421,0.713,0.011,0.038,0.098,0.172,0.234,0.061,0.063,0.19,0.249,0.479
Elekta AB (publ) (OM:EKTA B),EKTAB SS,22-Aug-19,Not explained,Big4 to Big4,"Consumer, Non-cyclical",5475,0.027,,,,,0.051,,,,,-0.024,,,,
Elekta AB (publ) (OM:EKTA B),EKTAB SS,04-Sep-12,Not explained,Big4 to Big4,"Consumer, Non-cyclical",#N/A N/A,0.108,0.26,0.186,0.315,0.025,0.024,0.046,0.099,0.18,0.406,0.084,0.214,0.087,0.136,-0.38
Fingerprint Cards AB (publ) (OM:FING B),FINGB SS,11-May-18,Resignation,Big4 to non-Big4,Industrial,303,0.007,0.413,1.23,1.219,,-0.006,-0.007,-0.056,-0.005,,0.012,0.42,1.285,1.224,
Hansa Biopharma AB (publ) (OM:HNSA),HNSA SS,03-Jun-15,Not explained,Non-Big4 to Big4,"Consumer, Non-cyclical",95,-0.088,-0.242,-0.142,0.717,4.342,-0.029,-0.08,-0.051,-0.107,0.062,-0.059,-0.162,-0.091,0.824,4.28
Husqvarna AB (publ) (OM:HUSQ B),HUSQB SS,10-Apr-14,Not explained,Big4 to Big4,Industrial,3429,0.163,0.132,0.013,0.381,0.345,0.023,0.025,-0.016,0.279,0.062,0.14,0.108,0.029,0.102,0.283
Intrum AB (publ) (OM:INTRUM),INTRUM SS,26-Apr-12,Not explained,Big4 to Big4,Financial,1326,-0.032,-0.057,-0.047,0.348,1.016,-0.046,0.014,0.075,0.196,0.391,0.014,-0.071,-0.122,0.152,0.625
Karo Pharma AB (publ) (OM:KARO),KARO SS,16-May-19,Not explained,Big4 to Big4,"Consumer, Non-cyclical",678,0,-0.001,0.055,,,-0.005,-0.025,0.076,,,0.005,0.024,-0.02,,
Kinnevik AB (OM:KINV B),KINVB SS,13-May-13,Not explained,Big4 to Big4,Financial,#N/A N/A,0.018,0.181,0.397,0.549,0.647,-0.04,0.02,0.065,0.16,0.385,0.058,0.161,0.332,0.389,0.262
Lindab International AB (OM:LIAB),LIAB SS,30-Apr-14,Not explained,Big4 to Big4,Industrial,919,-0.014,-0.178,-0.177,-0.087,-0.199,0.027,0.019,-0.005,0.209,0.079,-0.042,-0.198,-0.172,-0.296,-0.278
Modern Times Group Mtg AB (OM:MTG B),MTGB SS,17-May-10,Not explained,Big4 to Big4,Communications,3845,0.093,0.081,0.223,0.139,-0.185,0.034,0.051,0.093,0.157,0.049,0.059,0.03,0.13,-0.018,-0.234
Mycronic AB (publ) (OM:MYCR),MYCR SS,07-May-13,Not explained,Big4 to Big4,Industrial,214,-0.037,-0.111,-0.074,0.373,4.275,-0.014,0.015,0.088,0.151,0.375,-0.023,-0.125,-0.162,0.222,3.9
NCC AB (publ) (OM:NCC B),NCCB SS,04-Nov-13,Resignation,Big4 to Big4,Industrial,3214,-0.026,0.009,0.154,0.122,0.486,-0.014,-0.011,0.065,0.06,0.256,-0.012,0.02,0.089,0.062,0.23
Nordea Bank Abp (OM:NDA SE),NDA SS,20-Mar-15,Not explained,Big4 to Big4,Financial,47123,-0.009,-0.052,-0.123,-0.188,0.05,0.011,-0.03,-0.104,-0.127,-0.001,-0.021,-0.022,-0.019,-0.061,0.051
NIBE Industrier AB (publ) (OM:NIBE B),NIBEB SS,16-May-13,Not explained,Non-Big4 to Big4,Industrial,1914,-0.078,0.078,0.185,0.724,1.188,-0.051,0.003,0.062,0.137,0.372,-0.027,0.075,0.123,0.587,0.817
Nobia AB (publ) (OM:NOBI),NOBI SS,06-Apr-17,Tender,Big4 to Big4,"Consumer, Cyclical",1573,0.044,-0.068,-0.144,-0.202,-0.311,0.043,0.015,0.043,0.017,0.09,0.001,-0.083,-0.188,-0.219,-0.401
Nolato AB (publ) (OM:NOLA B),NOLAB SS,29-Apr-15,Not explained,Big4 to Big4,Basic Materials,#N/A N/A,-0.019,0.025,0.175,0.114,0.505,0.015,0.003,-0.039,-0.111,0.043,-0.034,0.022,0.214,0.224,0.463
Ratos AB (publ) (OM:RATO B),RATOB SS,08-May-19,Not explained,Big4 to Big4,Financial,#N/A N/A,0.041,-0.071,0.266,,,-0.004,-0.007,0.079,,,0.045,-0.064,0.187,,
Ratos AB (publ) (OM:RATO B),RATOB SS,19-Apr-12,Not explained,Big4 to Big4,Financial,3831,-0.194,-0.095,-0.298,-0.211,-0.121,-0.057,0.041,0.096,0.157,0.394,-0.137,-0.136,-0.394,-0.368,-0.515
Saab AB (publ) (OM:SAAB B),SAABB SS,07-Apr-11,Not explained,Big4 to Big4,Industrial,1996,0.073,0.036,-0.071,-0.131,0.042,0.011,0.002,-0.154,-0.041,0.104,0.063,0.035,0.082,-0.09,-0.062
Sandvik AB (OM:SAND),SAABB SS,27-Apr-18,Resignation,Big4 to Big4,Industrial,4843,-0.008,0.098,-0.083,-0.004,,0.024,0.032,-0.068,0.052,,-0.032,0.067,-0.015,-0.055,
SAS AB (publ) (OM:SAS),SAS SS,13-Mar-19,Not explained,Big4 to Big4,"Consumer, Cyclical",1033,-0.076,-0.362,-0.336,,,0.037,0.033,0.071,,,-0.113,-0.395,-0.407,,
SAS AB (publ) (OM:SAS),SAS SS,20-Mar-13,Not explained,Big4 to Big4,"Consumer, Cyclical",702,-0.089,-0.107,0.423,0.06,0.146,-0.033,-0.026,0.084,0.143,0.455,-0.056,-0.081,0.339,-0.082,-0.309
Svenska Cellulosa Aktiebolaget SCA (publ) (OM:SCA B),SCAB SS,14-Apr-16,Not explained,Big4 to Big4,Basic Materials,20475,0.008,0.08,0.003,0.213,0.859,-0.018,0,0.009,0.145,0.178,0.026,0.079,-0.006,0.068,0.682
Skandinaviska Enskilda Banken AB (publ.) (OM:SEB A),SCAB SS,26-Mar-19,Previous reappointed,Big4 to Big4,Basic Materials,5436,0.058,0.039,0.102,,,0.044,0.034,0.06,,,0.014,0.005,0.041,,
Stillfront Group AB (publ) (OM:SF),SF SS,09-May-19,Not explained,Big4 to non-Big4,Technology,#N/A N/A,0.194,0.029,0.255,,,0.011,0,0.095,,,0.183,0.03,0.16,,
Svenska Handelsbanken AB (publ) (OM:SHB A),SHBA SS,29-Mar-17,Not explained,Big4 to Big4,Financial,27087,0.028,-0.006,0.005,-0.084,-0.09,0.029,0.024,0.048,0.012,0.072,-0.001,-0.03,-0.043,-0.096,-0.162
AB SKF (publ) (OM:SKF B),SKFB SS,26-Apr-13,Tender,Big4 to Big4,Industrial,11084,0.055,0.214,0.158,0.141,0.528,0.034,0.023,0.101,0.163,0.472,0.021,0.191,0.057,-0.023,0.056
Swedish Orphan Biovitrum AB (publ) (OM:SOBI),SOBI SS,09-May-14,Not explained,Big4 to Big4,"Consumer, Non-cyclical",2960,0.075,0.038,0.071,0.715,0.38,0.036,-0.031,0.004,0.219,0.051,0.039,0.069,0.067,0.496,0.329
SSAB AB (publ) (OM:SSAB A),SSABA SS,08-Apr-19,Not explained,Big4 to Big4,Basic Materials,3536,-0.084,-0.14,-0.3,,,-0.006,0.024,0,,,-0.077,-0.164,-0.3,,
Vitrolife AB (publ) (OM:VITR),VITR SS,06-May-14,Not explained,Big4 to Big4,"Consumer, Non-cyclical",#N/A N/A,-0.055,-0.118,0.276,0.264,2.287,0.041,-0.01,0.019,0.194,0.055,-0.096,-0.108,0.258,0.071,2.232
AB Volvo (publ) (OM:VOLV B),VOLVB SS,05-Apr-18,Tender,Big4 to Big4,"Consumer, Cyclical",37935,0.042,-0.026,0.065,0.069,,0.037,0.032,0.023,0.07,,0.005,-0.058,0.042,-0.002,
ABB Ltd (SWX:ABBN),ABBN SW,29-Mar-18,Not explained,Big4 to Big4,Industrial,57375,0.051,-0.009,0.058,-0.146,,0.044,0.043,0.057,0.059,,0.007,-0.052,0.002,-0.205,
Bâloise Holding AG (SWX:BALN),BALN SW,29-Apr-16,Tender,Big4 to Big4,Financial,5940,0.077,-0.04,0.068,0.282,0.445,0.033,0.014,0.016,0.172,0.204,0.044,-0.054,0.052,0.11,0.241
Logitech International S.A. (SWX:LOGN),LOGN SW,18-Dec-14,Previous not seeking reapp.,Big4 to Big4,Technology,2103,-0.134,-0.07,0.042,0.14,1.018,0.04,0.182,0.159,0.099,0.135,-0.174,-0.252,-0.117,0.041,0.883
Logitech International S.A. (SWX:LOGN),LOGN SW,13-Nov-14,Previous not seeking reapp.,Big4 to Big4,Technology,2103,0,0.042,0.065,0.203,0.907,-0.015,0.127,0.199,0.135,0.074,0.015,-0.085,-0.135,0.069,0.834
Logitech International S.A. (SWX:LOGN),LOGN SW,09-Jun-13,Not explained,Big4 to Big4,Technology,1173,-0.035,0.153,0.667,0.892,1.276,-0.001,0.041,0.084,0.219,0.385,-0.034,0.111,0.583,0.673,0.891
Tecan Group Ltd. (SWX:TECN),TECN SW,13-Apr-16,Not explained,Big4 to Big4,"Consumer, Non-cyclical",1869,-0.003,0.116,0.223,0.152,0.568,-0.015,-0.005,-0.001,0.149,0.181,0.012,0.121,0.224,0.004,0.386
VZ Holding AG (SWX:VZN),VZN SW,16-Apr-12,Tender,Big4 to Big4,Financial,807,-0.115,-0.134,0.069,0.318,0.498,-0.027,0.03,0.107,0.179,0.4,-0.088,-0.164,-0.038,0.139,0.098
AGRANA Beteiligungs-Aktiengesellschaft (WBAG:AGR),AGR AV,02-Jul-10,Not explained,Big4 to Big4,"Consumer, Non-cyclical",1382,0.095,0.018,0.164,0.267,0.333,0.106,0.096,0.172,0.199,0.157,-0.01,-0.079,-0.008,0.069,0.176
Lenzing Aktiengesellschaft (WBAG:LNZ),LNZ AV,25-Apr-17,Not explained,Big4 to Big4,Basic Materials,3220,-0.01,-0.097,-0.284,-0.371,-0.304,0.023,-0.003,0.018,0.016,0.079,-0.032,-0.094,-0.302,-0.387,-0.383
Lenzing Aktiengesellschaft (WBAG:LNZ),LNZ AV,19-Apr-12,Not explained,Big4 to Big4,Basic Materials,2200,-0.037,-0.001,-0.101,-0.18,-0.406,-0.057,0.041,0.096,0.157,0.394,0.02,-0.042,-0.197,-0.337,-0.8
Schoeller-Bleckmann Oilfield Equipment Aktiengesellschaft (WBAG:SBO),SBO AV,27-Apr-16,Not explained,Big4 to Big4,Energy,875,-0.047,-0.042,0.088,0.099,0.725,0.014,-0.002,0,0.153,0.182,-0.062,-0.041,0.088,-0.054,0.542
Schoeller-Bleckmann Oilfield Equipment Aktiengesellschaft (WBAG:SBO),SBO AV,23-Apr-15,Not explained,Big4 to Big4,Energy,1160,-0.031,-0.13,-0.127,-0.013,0.041,0.01,-0.011,-0.058,-0.116,-0.008,-0.04,-0.119,-0.07,0.103,0.048
AmRest Holdings SE (WSE:EAT),EAT PW,15-Jun-17,Mandatory rotation,Big4 to Big4,"Consumer, Cyclical",1861,0.028,-0.016,0.014,0.246,0.069,0.003,-0.01,0.014,0.042,0.051,0.025,-0.006,0,0.205,0.018
Cancom SE (XTRA:COK),COK GY,26-Jun-19,Not explained,Big4 to non-Big4,Technology,1581,0.187,0.108,,,,0.024,0.026,,,,0.164,0.082,,,
Deutsche Bank Aktiengesellschaft (XTRA:DBK),DBK GY,29-Oct-18,Mandatory rotation,Big4 to Big4,Financial,23416,-0.034,-0.056,-0.139,-0.146,,0.009,0.009,0.121,0.163,,-0.043,-0.064,-0.26,-0.308,
Evotec SE (XTRA:EVT),EVT GY,17-Jun-14,Not explained,Big4 to Big4,"Consumer, Non-cyclical",696,0.019,-0.184,-0.005,-0.004,0.014,-0.018,-0.001,-0.041,0.143,0.005,0.036,-0.183,0.036,-0.147,0.009
MorphoSys AG (XTRA:MOR),MOR GY,20-May-11,Not explained,Big4 to Big4,"Consumer, Non-cyclical",607,-0.065,-0.118,-0.181,-0.127,0.726,-0.045,-0.195,-0.158,-0.111,0.196,-0.02,0.077,-0.023,-0.016,0.531
MorphoSys AG (XTRA:MOR),MOR GY,25-May-10,Not explained,Big4 to Big4,"Consumer, Non-cyclical",511,0.037,0.039,0.113,0.418,0.208,0.074,0.074,0.167,0.237,0.126,-0.037,-0.035,-0.054,0.181,0.082
Telefónica Deutschland Holding AG (XTRA:O2D),O2D GY,09-May-17,Not explained,Big4 to Big4,Communications,14798,0.077,0.129,0.042,0.01,-0.248,-0.006,-0.031,0,0.025,0.018,0.083,0.16,0.042,-0.015,-0.266
CPI Property Group S.A. (XTRA:O5G),O5G GY,03-Oct-19,Resignation,Big4 to Big4,Financial,#N/A N/A,-0.021,,,,,0.059,,,,,-0.08,,,,
OHB SE (XTRA:OHB),OHB GY,25-May-16,Not explained,Non-Big4 to Big4,Industrial,373,-0.037,0.035,0.02,0.531,0.901,-0.073,-0.012,-0.006,0.163,0.198,0.037,0.047,0.026,0.368,0.703
VIB Vermögen AG (XTRA:VIH1),VIH1 GY,29-Jun-18,Previous reappointed,Big4 to Big4,Financial,703,-0.023,0.055,-0.032,0.16,,0.033,0.013,-0.107,0.05,,-0.055,0.042,0.075,0.11,
Wirecard AG (XTRA:WDI),WDI GY,22-Jun-11,Previous reappointed,Big4 to Big4,"Consumer, Non-cyclical",1820,0.077,-0.032,0.092,0.286,0.78,0.016,-0.194,-0.095,-0.042,0.128,0.061,0.161,0.188,0.329,0.652
Ferrari N.V. (NYSE:RACE),RACE IM,12-Apr-19,Previous reappointed,Big4 to Big4,"Consumer, Cyclical",#N/A N/A,0.026,0.217,0.151,,,-0.019,0.015,0.033,,,0.045,0.202,0.117,,
TechnipFMC plc (NYSE:FTI),FTI FP,15-Jun-18,Previous dismissed,Big4 to Big4,Energy,#N/A N/A,0.01,-0.018,-0.298,-0.226,,-0.009,-0.024,-0.1,0.009,,0.019,0.007,-0.198,-0.235,
TechnipFMC plc (NYSE:FTI),FTI FP,17-Jan-17,Previous dismissed,Big4 to Big4,Energy,#N/A N/A,-0.092,-0.067,-0.266,-0.174,-0.382,0.023,0.061,0.094,0.134,0.034,-0.115,-0.128,-0.36,-0.308,-0.416
QIAGEN N.V. (NYSE:QGEN),QIA GY,07-May-15,Previous dismissed,Big4 to Big4,"Consumer, Non-cyclical",#N/A N/A,0.028,0.17,0.089,-0.106,0.367,0.006,0.03,-0.01,-0.118,0.085,0.021,0.139,0.099,0.012,0.282
Core Laboratories N.V. (NYSE:CLB),CLB NA,04-May-15,Previous dismissed,Big4 to Big4,Energy,#N/A N/A,-0.107,-0.161,-0.04,-0.022,-0.102,-0.003,0.015,-0.027,-0.135,0.057,-0.104,-0.176,-0.013,0.113,-0.159
