Company,BBG ticker,Date,Reason,Type,Industry,MarketCapUSD,1M_TR,3M_TR,6M_TR,12M_TR,24M_TR,1M_SXXP,3M_SXXP,6M_SXXP,12M_SXXP,24M_SXXP,1M_ALPHA,3M_ALPHA,6M_ALPHA,12M_ALPHA,24M_ALPHA
Close Brothers Group plc (LSE:CBG),CBG LN,19-May-17,Not explained,Big4 to Big4,Financial,2733,-0.036,-0.052,-0.107,0.028,0.021,0.005,-0.036,-0.008,0.041,0.043,-0.042,-0.016,-0.099,-0.014,-0.022
Computacenter plc (LSE:CCC),CCC LN,19-May-15,Tender,Big4 to Big4,Technology,1270,-0.045,0.05,0.065,0.168,0.156,-0.044,-0.051,-0.048,-0.146,0.035,-0.001,0.101,0.113,0.314,0.121
Chemring Group PLC (LSE:CHG),CHG LN,23-Mar-18,Tender,Big4 to Big4,Industrial,645,0.036,0.066,0.057,-0.317,,0.053,0.072,0.074,0.064,,-0.016,-0.006,-0.017,-0.381,
Cineworld Group plc (LSE:CINE),CINE LN,19-Jun-19,Resignation,Big4 to Big4,"Consumer, Cyclical",4600,-0.067,-0.083,,,,0.008,0.024,,,,-0.075,-0.107,,,
Caledonia Investments plc (LSE:CLDN),CLDN LN,04-Nov-11,Resignation,Big4 to Big4,Financial,#N/A N/A,-0.058,-0.022,-0.107,0.027,0.327,0.007,0.109,0.078,0.193,0.448,-0.065,-0.132,-0.185,-0.166,-0.121
Centrica plc (LSE:CNA),CNA LN,09-May-17,Tender,Big4 to Big4,Utilities,15836,0.037,0.028,-0.105,-0.172,-0.408,-0.006,-0.031,0,0.025,0.018,0.044,0.059,-0.105,-0.197,-0.426
Centrica plc (LSE:CNA),CNA LN,16-Nov-16,Tender,Big4 to Big4,Utilities,16233,0.155,0.179,0.009,-0.114,-0.159,0.065,0.097,0.193,0.175,0.129,0.09,0.082,-0.184,-0.289,-0.288
Capita plc (LSE:CPI),CPI LN,25-Aug-10,Tender,Big4 to Big4,"Consumer, Non-cyclical",6974,0.111,-0.031,0.059,0.008,0.093,0.068,0.087,0.158,-0.05,0.167,0.043,-0.117,-0.099,0.058,-0.074
Croda International Plc (LSE:CRDA),CRDA LN,26-Apr-18,Tender,Big4 to Big4,Basic Materials,8084,0.056,0.121,0.041,0.157,,0.027,0.03,-0.066,0.055,,0.029,0.091,0.107,0.103,
Croda International Plc (LSE:CRDA),CRDA LN,17-Oct-17,Tender,Big4 to Big4,Basic Materials,6640,0.102,0.144,0.2,0.217,0.268,-0.015,0.023,-0.011,-0.037,0.08,0.117,0.121,0.211,0.255,0.188
Civitas Social Housing PLC (LSE:CSH),CSH LN,17-May-17,Previous reappointed,Big4 to Big4,Financial,#N/A N/A,-0.031,-0.015,-0.018,-0.062,-0.175,-0.002,-0.028,-0.007,0.045,0.045,-0.029,0.013,-0.011,-0.108,-0.219
Cranswick plc (LSE:CWK),CWK LN,18-Aug-17,Resignation,Big4 to Big4,"Consumer, Non-cyclical",1620,0.014,0.016,0.04,0.146,-0.092,0.021,0.029,0.024,0.052,0.059,-0.008,-0.013,0.016,0.094,-0.151
Diageo plc (LSE:DGE),DGE LN,13-Nov-14,Not explained,Big4 to Big4,"Consumer, Non-cyclical",87887,-0.034,-0.026,-0.06,0.01,0.115,-0.015,0.127,0.199,0.135,0.074,-0.019,-0.153,-0.259,-0.125,0.041
Dunedin Income Growth Investment Trust PLC (LSE:DIG),DIG LN,31-Mar-17,Tender,Big4 to Big4,Financial,#N/A N/A,0.008,0.048,0.031,0.003,0.118,0.021,0.012,0.04,0.004,0.063,-0.013,0.036,-0.008,-0.001,0.055
Derwent London Plc (LSE:DLN),DLN LN,16-May-14,Tender,Non-Big4 to Big4,Financial,#N/A N/A,-0.038,0.046,0.1,0.353,0.246,0.023,-0.02,0.002,0.206,0.054,-0.061,0.066,0.098,0.147,0.192
Daily Mail and General Trust plc (LSE:DMGT),DMGT LN,08-Dec-14,Tender,Big4 to Big4,Communications,4627,-0.013,0.036,0.142,-0.157,0.015,-0.017,0.137,0.13,0.082,0.079,0.004,-0.101,0.012,-0.24,-0.065
Dunelm Group plc (LSE:DNLM),DNLM LN,31-Jan-14,Resignation,Big4 to Big4,"Consumer, Cyclical",2917,0.078,0.021,-0.094,-0.025,0.074,0.05,0.06,0.066,0.175,0.13,0.027,-0.039,-0.16,-0.2,-0.056
Domino's Pizza Group plc (LSE:DOM),DOM LN,08-Dec-17,Not explained,Big4 to Big4,"Consumer, Cyclical",1768,0.087,0.021,0.226,-0.17,,0.024,-0.028,0.014,-0.082,,0.063,0.048,0.212,-0.087,
