Ticker,AuditorYears,Auditor,Opinion,ISSscore
BIM FP Equity,#N/A N/A,GRANT THORNTON,Not audited,1
RXL FP Equity,#N/A N/A,KPMG,Unqualified,1
CABK SQ Equity,#N/A N/A,PWC,Unqualified,5
ELI BB Equity,#N/A N/A,KPMG,Unqualified,1
SEV FP Equity,#N/A N/A,MAZARS,Unqualified,1
AT1 GY Equity,#N/A N/A,KPMG,Unqualified,1
CRH ID Equity,31,ERNST & YOUNG,Unqualified,1
BIRG ID Equity,1,KPMG,Unqualified,1
SGRE SQ Equity,#N/A N/A,ERNST & YOUNG,Not audited,1
AKERBP NO Equity,#N/A N/A,KPMG,Unqualified,1
TUI LN Equity,2,DELOITTE WIRTSCHAFTSPRUPFUNGS,Unqualified,1
AIBG ID Equity,6,DELOITTE,Unqualified,#N/A N/A
ADYEN NA Equity,10,PRICEWATERHOUSE COOPERS,Unqualified,5
AOX GY Equity,1,KPMG AG,Unqualified,1
FNTN GY Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,1
HER IM Equity,#N/A N/A,DELOITTE,Unqualified,1
GXI GY Equity,#N/A N/A,DELOITTE,Unqualified,1
BEAN SE Equity,14,KPMG AG,Unqualified,#N/A N/A
ESSITYB SS Equity,2,ERNST & YOUNG AB,Unqualified,1
DHER GY Equity,#N/A N/A,KPMG AG,Unqualified,1
PHNX LN Equity,2,ERNST & YOUNG LLP,Unqualified,1
VALMT FH Equity,5,PRICEWATERHOUSECOOPERS OY,Unqualified,1
DCC LN Equity,5,KPMG,Unqualified,1
STJ LN Equity,10,PRICEWATERHOUSECOOPERS LLP,Unqualified,1
EZJ LN Equity,13,PRICEWATERHOUSE COOPERS LLP,Not audited,1
NIBEB SS Equity,#N/A N/A,KPMG AB,Qualified: uncertainty,1
KGX GY Equity,12,DELOITTE,Unqualified,1
EVK GY Equity,6,PRICEWATERHOUSECOOPERS GMBH,Unqualified,1
ERF FP Equity,#N/A N/A,PWC,Unqualified,1
OMU LN Equity,#N/A N/A,KPMG,Unqualified,1
G24 GY Equity,3,KPMG AG,Not audited,1
DPH LN Equity,5,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
GLJ GY Equity,#N/A N/A,KPMG AG,Unqualified,1
NEXI IM Equity,#N/A N/A,PWC,Unqualified,#N/A N/A
POLY LN Equity,8,#N/A N/A,Unqualified,1
AAK SS Equity,14,BLANK COMPANY:1634,Unqualified,5
JUP LN Equity,12,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
SHL GY Equity,#N/A N/A,ERNST & YOUNG WIRTSCHAFTS,Not audited,1
SPL PW Equity,#N/A N/A,PWC,Not audited,#N/A N/A
GVC LN Equity,9,KPMG LLP,Unqualified,1
KOJAMO FH Equity,14,KPMG,Unqualified,#N/A N/A
SMWH LN Equity,4,PRICEWATERHOUSE COOPERS LLP,Not audited,9
COL SQ Equity,#N/A N/A,PWC,Unqualified,#N/A N/A
SWMA SS Equity,2,DELOITTE,Unqualified,1
IMB LN Equity,23,PRICEWATERHOUSE COOPERS LLP,Not audited,1
BBOX LN Equity,5,BDO LLP,Unqualified,#N/A N/A
BARN SE Equity,14,KPMG AG,Unqualified,5
ALT FP Equity,#N/A N/A,DELOITTE & ASSOC,Unqualified,1
FCA IM Equity,7,ERNST & YOUNG SPA,Unqualified,1
BATS LN Equity,4,KPMG LLP,Unqualified,1
VACN SE Equity,#N/A N/A,KPMG AG,Unqualified,1
NMC LN Equity,#N/A N/A,ERNST & YOUNG LLP,Unqualified,1
BVIC LN Equity,14,ERNST & YOUNG LLP,Unqualified,1
REC IM Equity,8,KPMG,#N/A Field Not Applicable,5
AM FP Equity,#N/A N/A,DELOITTE & ASSOC,Unqualified,9
DIA IM Equity,3,PWC,Unqualified,5
ALV GY Equity,1,PWC,Unqualified,1
RWE GY Equity,18,PRICEWATERHOUSE COOPERS,Unqualified,1
BAYN GY Equity,2,DELOITTE,Unqualified,10
BMW GY Equity,#N/A N/A,KPMG,Unqualified,10
AMBUB DC Equity,#N/A N/A,ERNST & YOUNG,Qualified: uncertainty,1
CBK GY Equity,1,ERNST & YOUNG,Unqualified,5
DBK GY Equity,#N/A N/A,KPMG AG,Unqualified,10
BAS GY Equity,13,KPMG AG,Unqualified,1
HEN3 GY Equity,#N/A N/A,KPMG AG,Unqualified,1
LHA GY Equity,64,PRICEWATERHOUSE COOPERS,Unqualified,1
SIE GY Equity,10,Ernst & Young GmbH Wirtschafts,Not audited,1
VOW3 GY Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,10
EOAN GY Equity,#N/A N/A,PRICEWATERHOUSECOOPERS GMBH,Unqualified,1
O2D GY Equity,2,PRICEWATERHOUSE COOPERS AG,Unqualified,1
BEI GY Equity,13,ERNST & YOUNG,Unqualified,1
HEI GY Equity,#N/A N/A,ERNST & YOUNG,Unqualified,1
SDF GY Equity,47,DELOITTE,Unqualified,5
